Animal ID,Found Location,At AAC,Date,Type,Looks,Color,Sex,Age,Image Link
A762940,"1401 MAN O WAR DRIVE
DEL VALLE 7862017
(30.22302017, -97.519571)",Yes (come to the shelter),12/9/2017,Cat,American Shorthair Mix,Blue,Neutered Male,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A762940
A763384,"WEST LAKE BLVD AUSTIN 78746
(30.293201, -97.80785)",Yes (come to the shelter),12/9/2017,Dog,Chihuahua Shorthair Mix,White/Black,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A763384
A763379,"9201 CIRCUIT OF THE AMERICAS BOULEVARD
AUSTIN 7862017
(30.134236, -97.645076)",Yes (come to the shelter),12/8/2017,Dog,Dachshund Mix,Tan/White,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A763379
A763398,"WESTGATE
AUSTIN 78745
",No (contact for more info),12/9/2017,Dog,Labrador Retriever Mix,White,Unknown,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A763398
A763382,"8300 N IH
AUSTIN 78753
",Yes (come to the shelter),12/8/2017,Dog,Pit Bull Mix,Brown Brindle/Black,Neutered Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A763382
A763385,"9201 CIRCUITS
OF THE AMERICA 7862017
",Yes (come to the shelter),12/9/2017,Dog,Boston Terrier Mix,Black/Brown Brindle,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A763385
A763400,"290 MANOR
78653
",Yes (come to the shelter),12/9/2017,Dog,Pit Bull Mix,Brown Brindle/White,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A763400
A763395,"290 MANOR
78653
",Yes (come to the shelter),12/9/2017,Dog,Labrador Retriever Mix,Black/White,Intact Male,9 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A763395
A763408,"SCOTLAND YARD
AUSTIN 78759
",Yes (come to the shelter),12/9/2017,Dog,Labrador Retriever Mix,Black/White,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A763408
A721103,"183 AUSTIN
78741
",No (contact for more info),12/9/2017,Dog,Miniature Schnauzer Mix,Black/White,Spayed Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A721103
A763412,"1034 GARDNER ROAD
AUSTIN 78721
(30.257665, -97.683142)",Yes (come to the shelter),12/9/2017,Cat,Domestic Shorthair Mix,Tortie,Spayed Female,8 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A763412
A763410,"7601 DAFFAN LANE
AUSTIN 78724
(30.316998, -97.623828)",Yes (come to the shelter),12/9/2017,Dog,Chihuahua Shorthair Mix,White/Tan,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A763410
A763426,"CHICON STREET
AUSTIN 78702
",No (contact for more info),12/9/2017,Dog,Pug Mix,Brown/Black,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A763426
A763492,"910 WATER ST
78653
(30.230245, -97.52017489)",Yes (come to the shelter),12/9/2017,Dog,German Shepherd Mix,Tan/Black,Intact Male,5 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A763492
A763389,"MAIZE BEND AUSTIN 78727
(30.426879, -97.713462)",No (contact for more info),12/9/2017,Dog,Chihuahua Shorthair Mix,Black/White,Unknown,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A763389
A763496,"14321 SOUTH TURNERSVILLE ROAD
78660
(30.080077, -97.781565)",Yes (come to the shelter),12/9/2017,Cat,Domestic Shorthair Mix,Blue Tabby,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A763496
A598657,"2938 PECAN SPRINGS RD
AUSTIN 78723
(30.298907, -97.682157)",Yes (come to the shelter),12/10/2017,Dog,Pit Bull,Black/White,Spayed Female,8 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A598657
A763526,"11401 LAPOYNOR STREET MANOR
78653
(30.336278, -97.563967)",No (contact for more info),12/10/2017,Cat,Domestic Shorthair Mix,Black/White,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A763526
A763525,"3757 LOST CREEK
AUSTIN 78735
(30.284118, -97.875111)",No (contact for more info),12/10/2017,Dog,Maltese Mix,White,Unknown,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A763525
A763524,"3757 LOST CREEK
AUSTIN 78735
(30.284118, -97.875111)",No (contact for more info),12/10/2017,Dog,Beagle Mix,Tricolor,Unknown,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A763524
A763523,"2938 PECAN SPRINGS RD
AUSTIN 78723
(30.298907, -97.682157)",Yes (come to the shelter),12/10/2017,Dog,Labrador Retriever Mix,Brown Brindle,Neutered Male,9 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A763523
A720303,"2900 E 2ND STREET AND BROADWAY STREET
AUSTIN 78702
",Yes (come to the shelter),12/10/2017,Dog,Pit Bull Mix,Blue,Spayed Female,4 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A720303
A763534,"340 SOUTH BELL CEDAR PARK
78613
(30.505622, -97.820918)",No (contact for more info),12/10/2017,Dog,English Bulldog Mix,Brown Brindle/White,Unknown,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A763534
A763533,"6302 HERON DRIVE
AUSTIN 78759
(30.416231, -97.762999)",No (contact for more info),12/10/2017,Cat,Domestic Longhair Mix,Gray,Intact Female,10 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A763533
A763464,"AUSTIN 78702
(30.264271, -97.71608)",Yes (come to the shelter),12/9/2017,Dog,Labrador Retriever Mix,Black/Brown Brindle,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A763464
A763532,"2606 SWEENEY LANE
AUSTIN 78723
(30.30799, -97.682053)",No (contact for more info),12/10/2017,Cat,Domestic Shorthair Mix,White/Brown Tabby,Unknown,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A763532
A763531,"1401 GROVE
AUSTIN 78741
(30.233208, -97.705392)",No (contact for more info),12/10/2017,Dog,German Shepherd,Black/Brown,Unknown,6 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A763531
A763527,"9710 ANDERSON MILL ROAD
AUSTIN 78750
(30.447724, -97.794071)",No (contact for more info),12/10/2017,Dog,Yorkshire Terrier Mix,White/Brown,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A763527
A763529,"4408 COMMANDERS POINT DRIVE
AUSTIN 78734
(30.398539, -97.911974)",No (contact for more info),12/10/2017,Dog,Miniature Poodle Mix,White,Unknown,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A763529
A763528,"4821 EAST RIVERSIDE DRIVE
AUSTIN 78741
(30.231589, -97.72017492)",No (contact for more info),12/10/2017,Cat,Domestic Longhair Mix,Brown Tabby,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A763528
A763530,"2200 SOUTH PLEASANT VALLEY ROAD
AUSTIN 78741
(30.231209, -97.725485)",No (contact for more info),12/10/2017,Dog,Yorkshire Terrier Mix,Gray/Brown,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A763530
A763541,"FARRELL PLACE
AUSTIN 78749
",Yes (come to the shelter),12/10/2017,Cat,Domestic Shorthair Mix,Gray,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A763541
A763520,"13316 COOMES DRIVE
DEL VALLE 7862017
(30.20171022, -97.612908)",Yes (come to the shelter),12/9/2017,Dog,Black Mouth Cur Mix,Brown/Black,Neutered Male,11 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A763520
A763539,"3307 HARPERS FERRY LANE
AUSTIN 78745
(30.20521, -97.831248)",Yes (come to the shelter),12/10/2017,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Male,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A763539
A763540,"3307 HARPERS FERRY LANE
AUSTIN 78745
(30.20521, -97.831248)",Yes (come to the shelter),12/10/2017,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Male,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A763540
A763538,"8002 BONITA VISTA STREET
AUSTIN 78747
",No (contact for more info),12/10/2017,Dog,Anatolian Shepherd Mix,Tan/White,Intact Male,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A763538
A763543,"DAVIS LANE
AUSTIN 78745
",Yes (come to the shelter),12/10/2017,Dog,Chihuahua Shorthair Mix,Brown/White,Spayed Female,4 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A763543
A763546,"11611 RAYMOND C EWRY LANE
AUSTIN 78748
(30.15201774, -97.841069)",Yes (come to the shelter),12/10/2017,Cat,Domestic Shorthair Mix,Black,Unknown,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A763546
A763545,"11611 RAYMOND C EWRY LANE
AUSTIN 78748
(30.15201774, -97.841069)",Yes (come to the shelter),12/10/2017,Cat,Domestic Shorthair Mix,Orange Tabby,Unknown,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A763545
A763549,"WEST NORTH CESAR CHAVEZ STREET
AUSTIN 78701
",Yes (come to the shelter),12/10/2017,Dog,Pit Bull/Labrador Retriever,Brown/White,Neutered Male,7 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A763549
A721829,"ETHEL STREET
AUSTIN 78704
",No (contact for more info),12/10/2017,Dog,Australian Kelpie Mix,Black/Tan,Spayed Female,15 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A721829
A763550,"12424 RESEARCH
AUSTIN 78759
(30.427909, -97.757562)",Yes (come to the shelter),12/10/2017,Dog,Boxer Mix,Brown/White,Intact Male,10 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A763550
A763553,"412 WEST ALPINE ROAD
AUSTIN 78704
(30.229742, -97.76474)",Yes (come to the shelter),12/10/2017,Dog,Labrador Retriever Mix,White/Brown,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A763553
A763555,"10707 LAKE CREEK PARKWAY
AUSTIN 78750
(30.455722, -97.805791)",Yes (come to the shelter),12/10/2017,Dog,Beagle,Tricolor,Intact Female,8 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A763555
A763569,"RUNNING WATER
AUSTIN 78747
",No (contact for more info),12/11/2017,Dog,Lhasa Apso/Miniature Poodle,Tan,Unknown,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A763569
A760960,"4500 E OLTORF
AUSTIN 78741
(30.22653, -97.725792)",Yes (come to the shelter),12/11/2017,Dog,Pit Bull Mix,Brown/Black Brindle,Spayed Female,10 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A760960
A763570,"4500 MERLE DRIVE
AUSTIN 78745
(30.227556, -97.788379)",No (contact for more info),12/11/2017,Dog,Shih Tzu Mix,Gray,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A763570
A763571,"2509 PIPING ROCK TRAIL
AUSTIN 78748
(30.20178862, -97.83002017)",No (contact for more info),12/11/2017,Cat,Domestic Shorthair Mix,Black/White,Intact Male,6 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A763571
A763572,"1005 COLLINSWORTH ST
AUSTIN 78753
",Yes (come to the shelter),12/11/2017,Dog,Pit Bull Mix,Blue,Intact Male,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A763572
A763580,"2200 S LAKESHORE BOULEVARD
AUSTIN 78741
(30.244773, -97.723888)",Yes (come to the shelter),12/11/2017,Dog,Labrador Retriever Mix,Black/White,Intact Female,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A763580
A763584,"1144 AIRPORT BLVD
AUSTIN 78702
(30.272318, -97.697534)",Yes (come to the shelter),12/11/2017,Dog,Labrador Retriever Mix,Brown/White,Intact Female,6 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A763584
A763581,"11213 MIDBURY COURT
AUSTIN 78748
(30.158239, -97.842623)",Yes (come to the shelter),12/11/2017,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A763581
A763597,"PEPPERTREE PARKWAY
AUSTIN 78744
",Yes (come to the shelter),12/11/2017,Dog,Labrador Retriever Mix,Black/White,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A763597
A763596,"DECKER LANE
EYE 78724
",Yes (come to the shelter),12/11/2017,Dog,Plott Hound Mix,Brown Brindle/White,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A763596
A763589,"1143 1 2 AIRPORT BLVD
AUSTIN 78721
",Yes (come to the shelter),12/11/2017,Cat,Domestic Shorthair Mix,Gray,Intact Female,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A763589
A763588,"1143 1 2 AIRPORT BLVD
AUSTIN 78721
",Yes (come to the shelter),12/11/2017,Cat,Domestic Shorthair Mix,Black,Intact Male,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A763588
A763591,"WEBBERVILLE
AUSTIN 78723
",Yes (come to the shelter),12/11/2017,Dog,Staffordshire Mix,Tan/White,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A763591
A763593,"6801 RIVERSIDE
AUSTIN 78741
",Yes (come to the shelter),12/11/2017,Dog,Tibetan Spaniel,Brown/Black,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A763593
A763603,"2457 KILLINGSWORTH LN
78660
",Yes (come to the shelter),12/11/2017,Dog,Pit Bull Mix,White/Brown Brindle,Intact Male,8 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A763603
A763613,"2806 REAL STREET
AUSTIN 78722
(30.28244, -97.71201754)",Yes (come to the shelter),12/12/2017,Cat,Domestic Shorthair Mix,Cream Tabby/White,Intact Male,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A763613
A763615,"1007 EAST RUNBERG LANE
AUSTIN 78753
(30.355691, -97.684021)",Yes (come to the shelter),12/12/2017,Dog,Chihuahua Shorthair Mix,Black/Brown,Intact Male,8 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A763615
A756071,"3354 LAKE AUSTIN BOULEVARD
AUSTIN 78703
(30.288433, -97.780696)",Yes (come to the shelter),12/12/2017,Dog,Catahoula Mix,Tan/Brown,Neutered Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A756071
A533477,"WILLIAM CANNON DRIVE
LEAGUE AUSTIN 78745
",No (contact for more info),12/12/2017,Dog,German Shepherd Mix,Brown/Black,Neutered Male,11 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A533477
A763621,"183 AUSTIN
78719
",No (contact for more info),12/12/2017,Dog,Dachshund Mix,Brown,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A763621
A737556,"13355 US
AUSTIN 78750
",Yes (come to the shelter),12/12/2017,Cat,Domestic Shorthair Mix,Black,Neutered Male,5 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A737556
A763620,"78641
(30.55706, -97.872696)",No (contact for more info),12/12/2017,Cat,Domestic Shorthair Mix,Gray/White,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A763620
A763625,"35 PFLUGERVILLE
78660
",Yes (come to the shelter),12/12/2017,Dog,Labrador Retriever Mix,Brown,Spayed Female,9 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A763625
A682024,"7631 WEST HIGHWAY
AUSTIN 78704
",Yes (come to the shelter),12/12/2017,Cat,Domestic Shorthair Mix,Black,Neutered Male,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A682024
A763622,"2319 BTITER CREEK
AUSTIN 78744
",Yes (come to the shelter),12/12/2017,Cat,Domestic Shorthair Mix,Blue,Intact Female,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A763622
A763623,"2319 BTITER CREEK
AUSTIN 78744
",Yes (come to the shelter),12/12/2017,Cat,Domestic Shorthair Mix,Torbie,Intact Female,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A763623
A763624,"2319 BTITER CREEK
AUSTIN 78744
",Yes (come to the shelter),12/12/2017,Cat,Domestic Shorthair Mix,Tortie,Intact Female,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A763624
A763631,"2000 CITATION
7862017
(30.22017624, -97.518508)",Yes (come to the shelter),12/12/2017,Dog,Anatolian Shepherd Mix,Brown,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A763631
A763406,"6607 BRODIE LANE
AUSTIN 78745
(30.22017241, -97.828208)",No (contact for more info),12/9/2017,Cat,Domestic Shorthair Mix,Gray,Intact Female,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A763406
A763641,"AUSTIN 78704
(30.24322017, -97.76448)",Yes (come to the shelter),12/12/2017,Dog,Bull Terrier Mix,White/Brown,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A763641
A763635,"11000 MIDDLE FISKVILLE ROAD
AUSTIN 78753
(30.374605, -97.678545)",Yes (come to the shelter),12/12/2017,Dog,Chihuahua Shorthair Mix,Tan,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A763635
A763651,"CEDAR PARK 78613
(30.503628, -97.824803)",No (contact for more info),12/12/2017,Cat,Domestic Shorthair Mix,Black/White,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A763651
A734520,"1201 PAYTON GIN ROAD
AUSTIN 78758
(30.361618, -97.708443)",Yes (come to the shelter),12/12/2017,Dog,Pit Bull Mix,Tan/White,Neutered Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A734520
A763654,"3RD STREET
AUSTIN 78702
",No (contact for more info),12/12/2017,Dog,Jack Russell Terrier Mix,White/Tan,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A763654
A763653,"LOYOLA LANE
AUSTIN 78724
",Yes (come to the shelter),12/12/2017,Dog,Labrador Retriever Mix,Cream,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A763653
A763655,"EAST SOUTH BEN WHITE
AUSTIN 78745
",Yes (come to the shelter),12/12/2017,Dog,Australian Shepherd Mix,Black/Tricolor,Intact Male,7 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A763655
A763656,"EAST SOUTH BEN WHITE
AUSTIN 78745
",Yes (come to the shelter),12/12/2017,Dog,Australian Shepherd Mix,White/Tan,Intact Female,7 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A763656
A763658,"3300 PARKER LN
AUSTIN 78741
(30.222542, -97.74215)",Yes (come to the shelter),12/13/2017,Dog,Chihuahua Shorthair Mix,Chocolate/White,Spayed Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A763658
A763324,"5811 MELODY LANE
78724
(30.255667, -97.572016)",Yes (come to the shelter),12/7/2017,Dog,Catahoula/Australian Shepherd,Black/Tan,Neutered Male,7 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A763324
A763441,"5604 SOUTHWEST PARKWAY
AUSTIN 78735
(30.246405, -97.846278)",Yes (come to the shelter),12/9/2017,Dog,Harrier Mix,Chocolate/White,Neutered Male,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A763441
A763662,"5214 OVERBROOK DRIVE
AUSTIN 78723
(30.299203, -97.684523)",Yes (come to the shelter),12/13/2017,Dog,Pit Bull Mix,Brown/White,Spayed Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A763662
A763663,"1609 W BRAKER LN
AUSTIN 78758
(30.389013, -97.701114)",Yes (come to the shelter),12/13/2017,Dog,Australian Shepherd Mix,Black/White,Neutered Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A763663
A763664,"5306 GEORGE STREET
AUSTIN 78744
(30.190245, -97.734475)",Yes (come to the shelter),12/13/2017,Dog,Yorkshire Terrier/Chihuahua Shorthair,Tan/Black,Intact Male,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A763664
A763439,"5604 SOUTHWEST PARKWAY
AUSTIN 78735
(30.246405, -97.846278)",Yes (come to the shelter),12/9/2017,Dog,Harrier Mix,Brown/Black,Spayed Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A763439
A763667,"1007 EAST RUNDBERG LANE
AUSTIN 78753
(30.355691, -97.684021)",Yes (come to the shelter),12/13/2017,Dog,Chihuahua Shorthair Mix,White/Brown,Intact Male,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A763667
A696495,"12419 METRIC BLVD
AUSTIN 78758
(30.411643, -97.69201709)",Yes (come to the shelter),12/13/2017,Dog,Shiba Inu Mix,Red,Spayed Female,8 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A696495
A763666,"SECOND STREET
AUSTIN 78701
",Yes (come to the shelter),12/13/2017,Cat,Domestic Shorthair Mix,Lynx Point,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A763666
A763679,"1626 ROAD
78652
",No (contact for more info),12/13/2017,Dog,Siberian Husky Mix,Black/White,Intact Female,6 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A763679
A763680,"1511 POQUITO STREET
AUSTIN 78702
(30.27651, -97.719437)",Yes (come to the shelter),12/13/2017,Cat,Domestic Shorthair Mix,Black,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A763680
A763678,"MORROW STREET
AUSTIN 78752
",Yes (come to the shelter),12/13/2017,Dog,Labrador Retriever Mix,Brown/White,Intact Female,5 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A763678
A763683,"SPEIDEL DRIVE
PFLUGERVILLE 78660
",Yes (come to the shelter),12/13/2017,Dog,Chihuahua Shorthair Mix,Tan/White,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A763683
A763565,"5409 PONCIANA DR
AUSTIN 78744
(30.198055, -97.755589)",Yes (come to the shelter),12/11/2017,Dog,Labrador Retriever Mix,Tan,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A763565
A763686,"TINAJERO WAY 78653
(30.345865, -97.531473)",Yes (come to the shelter),12/13/2017,Dog,Catahoula Mix,Brown Brindle/Brown,Intact Male,6 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A763686
A763687,"12349 METRIC BOULEVARD
AUSTIN 78758
(30.410374, -97.695828)",Yes (come to the shelter),12/13/2017,Cat,Domestic Shorthair Mix,Brown Tabby,Spayed Female,4 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A763687
A763361,"4501 LAREINA DRIVE
AUSTIN 78745
(30.218065, -97.771493)",Yes (come to the shelter),12/8/2017,Cat,Domestic Shorthair Mix,Brown Tabby/White,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A763361
A763688,"4601 EAST SAINT
ELMO AUSTIN 78744
",Yes (come to the shelter),12/13/2017,Cat,Domestic Longhair Mix,Black/White,Intact Female,6 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A763688
